source,date,query,raw_text,unigram,bigram,unibi_mix,adj_noun,video_title,likes,churn_score,churn_signals,positive_score,positive_signals,net_signal,signal_type,competitor_mentioned
blog,2026-04-15,헤드앤숄더 후기,헤드앤숄더 퍼퓸 프레쉬 샴푸 직접 써보고 생각이 바뀐 이유 알고리즘이 추천해준 구성과 첫인상 사실 인스타에서 누가 헤드앤숄더 샴푸가 세정력 끝판왕이라고 헤드앤숄더 퍼퓸 프레쉬 샴푸는 향기가 생각보다 은은해서 좋았고 딥클린은 진짜 두피 속까지 뽀득하게,"['퍼퓸', '프레쉬', '알고리즘', '구성', '첫인상', '인스타', '세정', '끝판왕', '퍼퓸', '프레쉬', '향기', '클린']","['퍼퓸_프레쉬', '프레쉬_알고리즘', '알고리즘_구성', '구성_첫인상', '첫인상_인스타', '인스타_세정', '세정_끝판왕', '끝판왕_퍼퓸', '퍼퓸_프레쉬', '프레쉬_향기', '향기_클린']","['퍼퓸', '프레쉬', '알고리즘', '구성', '첫인상', '인스타', '세정', '끝판왕', '퍼퓸', '프레쉬', '향기', '클린', '퍼퓸_프레쉬', '프레쉬_알고리즘', '알고리즘_구성', '구성_첫인상', '첫인상_인스타', '인스타_세정', '세정_끝판왕', '끝판왕_퍼퓸', '퍼퓸_프레쉬', '프레쉬_향기', '향기_클린']",[],,,0,[],1,['추천'],1,긍정,False
blog,2026-04-14,헤드앤숄더 후기,연남 미용실 에이노이헤어 연남점 시그니처 클리닉 받고 온 후기 마포 연남 미용실 에이노이헤어 연남점 시그니처 클리닉 받고 온 후기 땡하 안녕하세요 땡글이입니다 제가 최근 지인의 추천을 받고 헤드앤숄더 샴푸로 바꿨는데 두피에 좋은 샴푸는 머릿결에 안 좋다고,"['연남', '미용실', '에이노이헤어', '연남점', '시그니처', '클리닉', '마포', '연남', '미용실', '에이노이헤어', '연남점', '시그니처', '클리닉', '땡글이', '지인', '머릿결']","['연남_미용실', '미용실_에이노이헤어', '에이노이헤어_연남점', '연남점_시그니처', '시그니처_클리닉', '클리닉_마포', '마포_연남', '연남_미용실', '미용실_에이노이헤어', '에이노이헤어_연남점', '연남점_시그니처', '시그니처_클리닉', '클리닉_땡글이', '땡글이_지인', '지인_머릿결']","['연남', '미용실', '에이노이헤어', '연남점', '시그니처', '클리닉', '마포', '연남', '미용실', '에이노이헤어', '연남점', '시그니처', '클리닉', '땡글이', '지인', '머릿결', '연남_미용실', '미용실_에이노이헤어', '에이노이헤어_연남점', '연남점_시그니처', '시그니처_클리닉', '클리닉_마포', '마포_연남', '연남_미용실', '미용실_에이노이헤어', '에이노이헤어_연남점', '연남점_시그니처', '시그니처_클리닉', '클리닉_땡글이', '땡글이_지인', '지인_머릿결']",[],,,0,[],1,['추천'],1,긍정,False
blog,2026-04-14,헤드앤숄더 후기,지루성 두피염 15년차의 내돈내산 샴푸 추천 리스트 올리브영 등 목차는 제 기준 가려움증 개선에 도움줬던 샴푸 순서대로 라보에이치 샴푸 헤드앤숄더 샴푸 괜찮아지셨다는 후기 를 보고 뭔가 너무 신빙성 있는 후기 라서 바로 구매하게 된 제품입니다 이름은,"['지루', '리스트', '올리브', '기준', '가려움증', '개선', '도움', '순서', '에이치', '신빙']","['지루_리스트', '리스트_올리브', '올리브_기준', '기준_가려움증', '가려움증_개선', '개선_도움', '도움_순서', '순서_에이치', '에이치_신빙']","['지루', '리스트', '올리브', '기준', '가려움증', '개선', '도움', '순서', '에이치', '신빙', '지루_리스트', '리스트_올리브', '올리브_기준', '기준_가려움증', '가려움증_개선', '개선_도움', '도움_순서', '순서_에이치', '에이치_신빙']",[],,,1,['가려움'],1,['추천'],0,중립,False
blog,2026-04-14,헤드앤숄더 후기,헤드앤숄더 토탈 솔루션 샴푸 솔직 후기 두피열까지 잡아줌 그래서 고민 끝에 선택한 제품이 바로 헤드앤숄더 토탈 솔루션 가려운 두피 케어 샴푸예요 워낙 판매량도 많고 후기 도 좋아서 이건 한번 써보자 하고 구매하게 되었어요 구매 이유 환절기,"['토탈', '솔루션', '고민', '선택', '토탈', '솔루션', '케어', '판매량', '환절기']","['토탈_솔루션', '솔루션_고민', '고민_선택', '선택_토탈', '토탈_솔루션', '솔루션_케어', '케어_판매량', '판매량_환절기']","['토탈', '솔루션', '고민', '선택', '토탈', '솔루션', '케어', '판매량', '환절기', '토탈_솔루션', '솔루션_고민', '고민_선택', '선택_토탈', '토탈_솔루션', '솔루션_케어', '케어_판매량', '판매량_환절기']",[],,,0,[],0,[],0,중립,False
blog,2026-04-14,헤드앤숄더 후기,두피가 가려운 원인과 일상 대처법 알아보기 가려움을 해결을 33 헤드앤숄더 가려운 두피 케어 두피 트리트먼트 400ml 1개 122 938개 후기 상품특징 가려운 두피 진정 효과 비듬 완화 성분 사용 두피 트리트먼트 타입 케어 후 개선 감각 투명 크림 제형 사용 Best,"['원인', '일상', '대처법', '해결', '케어', '트리트먼트', '특징', '진정', '효과', '비듬', '완화', '성분', '트리트먼트', '타입', '케어', '개선', '감각', '투명', '크림', '제형']","['원인_일상', '일상_대처법', '대처법_해결', '해결_케어', '케어_트리트먼트', '트리트먼트_특징', '특징_진정', '진정_효과', '효과_비듬', '비듬_완화', '완화_성분', '성분_트리트먼트', '트리트먼트_타입', '타입_케어', '케어_개선', '개선_감각', '감각_투명', '투명_크림', '크림_제형']","['원인', '일상', '대처법', '해결', '케어', '트리트먼트', '특징', '진정', '효과', '비듬', '완화', '성분', '트리트먼트', '타입', '케어', '개선', '감각', '투명', '크림', '제형', '원인_일상', '일상_대처법', '대처법_해결', '해결_케어', '케어_트리트먼트', '트리트먼트_특징', '특징_진정', '진정_효과', '효과_비듬', '비듬_완화', '완화_성분', '성분_트리트먼트', '트리트먼트_타입', '타입_케어', '케어_개선', '개선_감각', '감각_투명', '투명_크림', '크림_제형']",[],,,1,['가려움'],0,[],-1,이탈위험,False
blog,2026-04-13,헤드앤숄더 후기,오래 쓰는 헤드앤숄더 두피 토탈 솔루션 딥클린 샴푸 1 2L 오래 쓰는 헤드앤숄더 두피 토탈 솔루션 딥클린 샴푸 1 2L 1개 사용하기 편한 제품 헤드앤숄더 두피 세브란스에이투 전용목장 단백우유 180ml 24개 믿을 수 있는 전문가 추천과 고객들의 생생 후기,"['토탈', '솔루션', '클린', '토탈', '솔루션', '클린', '세브란스', '에이', '전용', '목장', '단백', '우유', '전문가', '고객']","['토탈_솔루션', '솔루션_클린', '클린_토탈', '토탈_솔루션', '솔루션_클린', '클린_세브란스', '세브란스_에이', '에이_전용', '전용_목장', '목장_단백', '단백_우유', '우유_전문가', '전문가_고객']","['토탈', '솔루션', '클린', '토탈', '솔루션', '클린', '세브란스', '에이', '전용', '목장', '단백', '우유', '전문가', '고객', '토탈_솔루션', '솔루션_클린', '클린_토탈', '토탈_솔루션', '솔루션_클린', '클린_세브란스', '세브란스_에이', '에이_전용', '전용_목장', '목장_단백', '단백_우유', '우유_전문가', '전문가_고객']",[],,,0,[],1,['추천'],1,긍정,False
blog,2026-04-13,헤드앤숄더 후기,두피 스케일링 끝판왕 헤드앤숄더 딥클린 샴푸로 고민 끝 두피 스케일링을 받은 듯 개운함을 선사하는 헤드앤숄더 두피 토탈 솔루션 샴푸 딥클린 을 소개합니다 두피 고민 끝 산뜻함 유지 실제로 여러 사용 후기 를 보면 기존에 사용하던 샴푸로 해결되지 않았던,"['스케일링', '끝판왕', '클린', '고민', '스케일링', '선사', '토탈', '솔루션', '클린', '소개', '고민', '유지', '해결']","['스케일링_끝판왕', '끝판왕_클린', '클린_고민', '고민_스케일링', '스케일링_선사', '선사_토탈', '토탈_솔루션', '솔루션_클린', '클린_소개', '소개_고민', '고민_유지', '유지_해결']","['스케일링', '끝판왕', '클린', '고민', '스케일링', '선사', '토탈', '솔루션', '클린', '소개', '고민', '유지', '해결', '스케일링_끝판왕', '끝판왕_클린', '클린_고민', '고민_스케일링', '스케일링_선사', '선사_토탈', '토탈_솔루션', '솔루션_클린', '클린_소개', '소개_고민', '고민_유지', '유지_해결']",[],,,0,[],0,[],0,중립,False
blog,2026-04-13,헤드앤숄더 후기,두피 묵은 답답함 끝 딥클린의 시원한 해답 헤드앤숄더 매일 머리를 감아도 찝찝하거나 가려움을 느끼신다면 오늘 소개해 드릴 헤드앤숄더 두피 토탈 솔루션 유지된다는 후기 가 많습니다 만약 두피 각질이나 비듬으로 인해 스트레스를 받고 계신다면 이 샴푸의,"['클린', '해답', '소개', '토탈', '솔루션', '유지', '각질', '비듬', '스트레스']","['클린_해답', '해답_소개', '소개_토탈', '토탈_솔루션', '솔루션_유지', '유지_각질', '각질_비듬', '비듬_스트레스']","['클린', '해답', '소개', '토탈', '솔루션', '유지', '각질', '비듬', '스트레스', '클린_해답', '해답_소개', '소개_토탈', '토탈_솔루션', '솔루션_유지', '유지_각질', '각질_비듬', '비듬_스트레스']",[],,,1,['가려움'],0,[],-1,이탈위험,False
blog,2026-04-13,헤드앤숄더 후기,헤드 엔 숄더 샴푸 추천 BEST3 비듬 고민 끝 삶의 질 수많은 제품 중에서도 특히 인기가 많고 후기 가 검증된 헤드 엔 숄더 샴푸 인기 품목 TOP 3를 꼼꼼하게 비교해 드릴게요 여러분의 두피 상태에 딱 맞는 제품을 찾아보세요 1 헤드앤숄더 클리니컬 스트렝스,"['헤드', '비듬', '고민', '인기', '검증', '헤드', '인기', '품목', '비교', '상태', '클리니컬', '스트렝스']","['헤드_비듬', '비듬_고민', '고민_인기', '인기_검증', '검증_헤드', '헤드_인기', '인기_품목', '품목_비교', '비교_상태', '상태_클리니컬', '클리니컬_스트렝스']","['헤드', '비듬', '고민', '인기', '검증', '헤드', '인기', '품목', '비교', '상태', '클리니컬', '스트렝스', '헤드_비듬', '비듬_고민', '고민_인기', '인기_검증', '검증_헤드', '헤드_인기', '인기_품목', '품목_비교', '비교_상태', '상태_클리니컬', '클리니컬_스트렝스']",[],,,0,[],1,['추천'],1,긍정,False
blog,2026-04-13,헤드앤숄더 후기,헤드앤숄더 쿨멘솔 샴푸로 가려운 두피를 시원하게 진정시키기 마지막으로 헤드앤숄더 쿨멘솔 샴푸는 가격 대비 성능이 우수해 가성비가 뛰어납니다 많은 소비자들이 긍정적인 후기 를 남기고 있으며 실제 사용 후 두피 건강이 개선된 사례도 많습니다 비듬과 가려움으로,"['진정', '마지막', '대비', '성능', '우수', '가성비', '소비자', '긍정', '실제', '건강', '개선', '사례', '비듬']","['진정_마지막', '마지막_대비', '대비_성능', '성능_우수', '우수_가성비', '가성비_소비자', '소비자_긍정', '긍정_실제', '실제_건강', '건강_개선', '개선_사례', '사례_비듬']","['진정', '마지막', '대비', '성능', '우수', '가성비', '소비자', '긍정', '실제', '건강', '개선', '사례', '비듬', '진정_마지막', '마지막_대비', '대비_성능', '성능_우수', '우수_가성비', '가성비_소비자', '소비자_긍정', '긍정_실제', '실제_건강', '건강_개선', '개선_사례', '사례_비듬']",[],,,1,['가려움'],0,[],-1,이탈위험,False
